ID,Time,IPC∑÷¿‡
PAT315,2023,"G03F7/20, G03F7/00"
PAT316,2023,"G03F7/00, B05D3/06, B05D5/00, B22F7/06, B22F10/00, B22F10/20, B22F10/25, B22F10/28, B22F10/66, B23K26/342, B23K26/354, B23Q3/18, B33Y10/00, B33Y80/00, G03F7/20"
PAT317,2022,G03F7/00
PAT318,2022,"H01L23/544, G03F7/09, G03F9/00, H01L21/027"
PAT319,2019,G03F7/20
PAT320,2022,G03F7/20
PAT321,2018,"G03F1/24, G03F1/40"
PAT322,2022,"G02B21/00, G01N21/88, G01N21/956, G02B17/06, G02B21/16, G03F1/22, G03F1/84"
PAT323,2023,"H05G2/00, G03F7/20"
PAT324,2019,"G03F7/36, G03F7/16, G03F7/38, G03F7/42, G03F7/004"
PAT325,2023,"C08G59/16, G03F7/004, G03F7/023, G03F7/20"
PAT326,2021,"G03F9/00, G01B11/00"
PAT327,2022,"G03F1/62, G03F1/22"
PAT328,2020,"H01L21/033, G03F7/004, G03F7/09"
PAT329,2021,"G03F9/00, G03F7/20"
PAT330,2021,H01L21/3065
PAT331,2021,G03F7/20
PAT332,2022,"G03F1/62, G03F1/24"
PAT333,2018,"G03F7/20, B01D8/00, F04B37/08"
PAT334,2019,"G01N21/956, G01B11/25, G01N21/95, G03F1/42, G03F7/00, G03F7/20"
PAT335,2021,"H01L21/67, C23C8/10, C23C8/16, C23C8/18, C23C16/44, C23F15/00, G03F7/20, G03F7/42, H01J37/32"
PAT336,2021,"H01L21/67, C23C8/10, C23C8/16, C23C8/18, C23C16/44, C23F15/00, G03F7/20, G03F7/42, H01J37/32"
PAT337,2020,"G06F30/20, G06F17/13, G03F7/20, G06F119/14"
PAT338,2020,"G03F7/20, G03F7/004, H01L21/027"
PAT339,2021,H01L21/687
PAT340,2021,"G03F7/11, C23C16/18, C23C16/40, C23C16/455, G03F7/004, G03F7/09, G03F7/16, G03F7/36, G03F7/38, G03F7/40, H01L21/67"
PAT341,2022,"G03F7/42, G03F7/004, G03F7/40, H01L21/311"
PAT342,2020,"G03F1/84, G01B11/00, G01J9/00, G01M11/02, G03F7/20"
PAT343,2021,G03F7/20
PAT344,2021,"G03F1/62, G03F7/20"
PAT345,2019,"G03F7/20, G02B1/14, G02B5/08"
PAT346,2022,"G03F1/22, G03F7/20"
PAT347,2021,"G03F1/62, C23C16/455, G03F7/00"
PAT348,2022,G03F1/62
PAT349,2023,"G03F1/62, C23C16/455, G03F7/00"
PAT350,2022,"G03F7/00, G02B5/08, G02B5/18, G03F1/60"
PAT351,2021,"G03F7/00, G01B11/00, G02B26/08, G02B27/12"
PAT352,2021,"G03F7/00, G01N21/47"
PAT353,2021,"G03F7/20, G03F7/00"
PAT354,2022,"G03F7/00, G02B7/182"
PAT355,2023,"G03F7/00, G03F7/36"
PAT356,2022,H01L23/38
PAT357,2020,"H01L23/00, H01L23/367, H01L23/498, H01L23/522, H05K1/18"
PAT358,2021,"G03F7/20, H01L21/027"
PAT359,2023,"G01N21/88, G01B9/02, G01B11/24, G01B11/30, G01N21/45, G01N21/956, G03F1/22, G03F1/84"
PAT360,2020,"G03F7/004, G03F7/20, G03F7/26"
PAT361,2021,"G03F1/36, G03F7/20, H01L21/762"
PAT362,2022,G03F7/20
PAT363,2021,"G03F7/11, C08G59/26, C08G59/42, G03F7/20, H01L21/027"
PAT364,2023,"G01N21/88, G01N21/31, G01N21/41, G01N21/47, G01N21/956, G03F1/84"
PAT365,2021,"G03F7/20, G03F7/38, H01L21/027"
PAT366,2021,"G03F7/20, B41J2/01, G03F1/84, H05G2/00"
PAT367,2022,"H01L21/027, H01L21/304"
PAT368,2020,"G03F9/00, G01D5/38, G03F7/00"
PAT369,2022,"G03F1/84, G01J4/00, G01N21/21, G03F7/20"
PAT370,2023,"G03F1/22, G03F1/74"
PAT371,2023,"G03F1/22, G03F1/74"
PAT372,2021,"G03F7/20, H01L21/027, H01L21/683"
PAT373,2019,"G03F7/16, G03F7/20"
PAT374,2023,"G06T5/80, G06T5/60, G06N3/0455, G06N3/0464, G06N3/084, G03F7/20"
PAT375,2021,"B01L3/00, H05K3/06"
PAT376,2023,"G03F1/24, G03F1/48"
PAT377,2020,"G03F7/20, H05G2/00"
PAT378,2023,"G03F7/20, G02F1/33, H05G2/00"
PAT379,2020,G03F7/20
PAT380,2022,"G03F7/20, G06N20/00, H05G2/00"
PAT381,2019,H05G2/00
PAT382,2020,"G01N15/10, G03F7/00, H05G2/00"
PAT383,2022,"G03F1/36, G06T7/00"
PAT384,2020,"G03F1/70, G03F1/36"
PAT385,2021,"G03F7/00, G02B26/08, H02N2/00, H02N2/10, H10N30/05, H10N30/50"
PAT386,2023,"G03F7/20, G02B26/08, G03F7/00"
PAT387,2021,"G03F7/00, G06T7/11"
PAT388,2021,G03F7/00
PAT389,2021,"G03F7/00, G03F9/00"
PAT390,2022,"G03F9/00, G06T7/00, G06T7/73"
PAT391,2021,"H01S3/036, G03F7/00, H01S3/034, H01S3/225"
PAT392,2020,"G01B11/06, G03F7/20"
PAT393,2021,G03F7/20
PAT394,2020,"H05G2/00, G03F7/20"
PAT395,2020,"G03F1/42, G03F1/72, G03F7/20"
PAT396,2020,"G03F7/20, G02B7/182"
PAT397,2021,"C08G77/26, C09D183/08, G03F7/09, G03F7/11, G03F7/20, G03F7/26, G03F7/40, H01L21/027"
PAT398,2017,"C01B32/162, G03F1/62"
PAT399,2021,"G03F1/24, G03F7/20"
